id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
358,Black-Eyed Susans,Julia Heaberlin,0804177996,,3.77,354,24341,3018,Hardcover,August 11th 2015,Ballantine Books
353,We Need to Talk About Kevin,Lionel Shriver,006112429X,,4.07,400,139987,12782,Paperback,July 3rd 2006,Harper Perennial
354,The Last Templar,Raymond Khoury,0451219953,(Templar #1),3.60,523,39269,1635,Mass Market Paperback,December 2006,Signet
352,Lexicon,Max Barry,1594205388,,3.90,390,28037,3861,Hardcover,June 18th 2013,Penguin Press
357,Cell,Stephen King,1416524517,,3.65,449,175456,5503,Mass Market Paperback,December 2006,Pocket Star Books
345,No Country for Old Men,Cormac McCarthy,0375706674,,4.13,309,127702,7245,Paperback,July 11th 2006,Vintage
350,Needful Things,Stephen King,045057458X,,3.90,790,185068,3274,Paperback,1992,Hodder & Stoughton Ltd
355,Naked in Death,J.D. Robb,0425148297,(In Death #1),4.12,306,149995,5302,Mass Market Paperback,July 1st 1995,Berkley Publishing Group
351,The King of Torts,John Grisham,0385339658,,3.67,276,70782,1956,Paperback,December 27th 2005,Delta
356,The Bear and the Dragon,Tom Clancy,0425180964,(John Clark #3),3.82,1137,22787,479,Paperback,August 1st 2001,Berkley Books
344,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,1492657964,,3.95,432,49467,9930,Hardcover,September 18th 2018,Sourcebooks Landmark
341,The Breakdown,B.A. Paris,1250122465,,3.90,328,60588,7929,Hardcover,July 18th 2017,St. Martin's Press
343,The Sum of All Fears,Tom Clancy,0425184226,(Jack Ryan #6),4.01,928,51306,688,Paperback,May 7th 2002,Berkley
339,Worth Dying For,Lee Child,0440339340,(Jack Reacher #15),4.22,400,68155,3081,ebook,October 19th 2010,Delacorte Press
337,Heartsick,Chelsea Cain,0312368461,(Archie Sheridan & Gretchen Lowell #1),3.93,326,33683,2812,Hardcover,September 4th 2007,Minotaur Books
342,American Assassin,Vince Flynn,141659518X,(Mitch Rapp #1),4.23,435,65103,3258,Hardcover,October 12th 2010,Atria Simon & Schuster
338,The Enemy,Lee Child,0440241014,(Jack Reacher #8),4.17,464,83116,2492,Paperback,April 26th 2005,Dell Publishing Company
340,Triptych,Karin Slaughter,0385339461,(Will Trent #1),4.14,393,45423,2428,Hardcover,August 15th 2006,Delacorte Press
335,The Bourne Ultimatum,Robert Ludlum,0752858491,(Jason Bourne #3),4.05,725,54346,876,Mass Market Paperback,May 6th 2004,Orion
336,Red Russia,Tanya Thompson,,,4.13,196,1132,59,Kindle Edition,November 11th 2017,Thompson Books
334,Catching Fire,Suzanne Collins,0439023491,(The Hunger Games #2),4.29,391,2205113,92036,Hardcover,September 1st 2009,Scholastic Press
333,Without Remorse,Tom Clancy,0425143325,(John Clark #1),4.18,750,56141,1167,Paperback,August 1st 1994,Berkley Books
332,Rebecca,Daphne du Maurier,0316323705,,4.22,449,390630,19469,ebook,December 17th 2013,"Little, Brown and Company"
