id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
171,Empire of Storms,Sarah J. Maas,1619636077,(Throne of Glass #5),4.57,704,139335,16788,Hardcover,September 6th 2016,Bloomsbury Children's Books
172,The Thief,Megan Whalen Turner,0060824972,(The Queen's Thief #1),3.89,280,56682,6675,Paperback,December 27th 2005,Greenwillow Books
173,Knife of Dreams,Robert Jordan,0812577566,(The Wheel of Time #11),4.14,860,88831,1791,Mass Market Paperback,December 2006,Tom Doherty Associates
174,The Gathering Storm,Robert Jordan,0765302306,(The Wheel of Time #12),4.37,783,114655,3005,Hardcover,October 27th 2009,Tor Books
175,Before They Are Hanged,Joe Abercrombie,0575077883,(The First Law #2),4.29,441,94853,3275,Trade Paperback,March 15th 2007,Gollancz
176,The Golem and the Jinni,Helene Wecker,0062110837,(The Golem and the Jinni #1),4.12,486,86248,11622,Hardcover,April 23rd 2013,Harper
177,Quidditch Through the Ages,Kennilworthy Whisp,0439321611,(Hogwarts Library),3.86,64,123765,4704,Hardcover,June 1st 2001,Scholastic
178,The Tombs of Atuan,Ursula K. Le Guin,0689845367,(Earthsea Cycle #2),4.09,180,78144,2505,Mass Market Paperback,September 1st 2001,Gallery / Saga Press
179,Kushiel's Dart,Jacqueline Carey,0330493744,(Phèdre's Trilogy #1),4.04,1015,64490,3834,Paperback,September 5th 2003,Tor Fantasy
180,The Queen of the Tearling,Erika Johansen,006229038X,(The Queen of the Tearling #1),4.02,464,72407,9622,Paperback,April 14th 2015,Harper Paperbacks
181,The Wrath and the Dawn,Renée Ahdieh,0399171614,(The Wrath and the Dawn #1),4.16,404,91999,14958,Hardcover,May 12th 2015,G.P. Putnam's Sons Books for Young Readers
182,Lirael,Garth Nix,0060590165,(Abhorsen #2),4.30,464,97693,2712,Paperback,December 30th 2015,Eos
183,City of Heavenly Fire,Cassandra Clare,1481426303,(The Mortal Instruments #6),4.47,725,248425,21758,Hardcover,May 27th 2014,Margaret K. McElderry Books
184,Bitterblue,Kristin Cashore,0803734735,(Graceling Realm #3),4.01,576,90723,7681,Hardcover,May 1st 2012,Dial
185,The Slow Regard of Silent Things,Patrick Rothfuss,0756410436,(The Kingkiller Chronicle #2.5),3.91,159,96801,9490,Hardcover,October 28th 2014,DAW Books
186,The Iron King,Julie Kagawa,0373210086,(The Iron Fey #1),3.91,363,176291,11283,Paperback,January 19th 2010,Harlequin Teen
187,The Red Pyramid,Rick Riordan,1423113381,(The Kane Chronicles #1),4.08,516,281387,12203,Hardcover,May 4th 2010,Disney-Hyperion
