id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
180,The Hangman's Daughter,Oliver Pötzsch,NULL,(Die Henkerstochter #1),3.73,448,63982,5882,Kindle Edition,December 7th 2010,AmazonCrossing
181,What Angels Fear,C.S. Harris,0451219716,(Sebastian St. Cyr #1),3.89,410,10974,1224,Paperback,October 3rd 2006,Berkley Books
182,Have His Carcase,Dorothy L. Sayers,NULL,(Lord Peter Wimsey #8),4.13,499,12817,608,Kindle Edition,July 31st 2012,Open Road Media
183,Grave Peril,Jim Butcher,0451458443,(The Dresden Files #3),4.18,378,121796,4636,Paperback,September 4th 2001,Roc
184,An Ice Cold Grave,Charlaine Harris,0425217299,(Harper Connelly #3),3.96,280,30962,1422,Hardcover,September 25th 2007,Berkley
185,Takedown Twenty,Janet Evanovich,0345542886,(Stephanie Plum #20),3.79,307,51896,5213,Hardcover,November 19th 2013,Bantam
186,Dead as a Doornail,Charlaine Harris,0441013333,(Sookie Stackhouse #5),4.01,297,188618,3910,Mass Market Paperback,April 25th 2006,Ace Books
187,Ceremony in Death,J.D. Robb,0749934123,(In Death #5),4.27,327,33679,1187,Paperback,December 1st 2003,Piatkus Books
188,The Girl in the Spider's Web,David Lagercrantz,0385354282,(Millennium #4),3.76,400,115053,12168,Hardcover,September 1st 2015,Knopf
189,3rd Degree,James Patterson,0446614831,(Women's Murder Club #3),4.01,339,67516,1994,Paperback,January 1st 2005,Grand Central Publishing
190,N is for Noose,Sue Grafton,0330348779,(Kinsey Millhone #14),3.98,368,29824,652,Paperback,June 20th 2008,MacMillan General Books
191,U is for Undertow,Sue Grafton,039915597X,(Kinsey Millhone #21),3.95,403,24521,2294,Hardcover,December 1st 2009,Putnam
192,The Client,John Grisham,0385339089,NULL,3.99,483,358933,2226,Paperback,March 16th 2010,Delta
193,Midnight at the Bright Ideas Bookstore,Matthew J. Sullivan,1501116843,NULL,3.79,328,19912,3689,Hardcover,June 13th 2017,Scribner
