id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
408,The Woman in the Window,A.J. Finn,,,3.94,449,256313,28376,Kindle Edition,January 2nd 2018,William Morrow
407,Naked in Death,J.D. Robb,0425148297,(In Death #1),4.12,306,149995,5302,Mass Market Paperback,July 1st 1995,Berkley Publishing Group
406,Four to Score,Janet Evanovich,0312966970,(Stephanie Plum #4),4.17,313,120877,2784,Mass Market Paperback,June 15th 1999,St. Martin's Press
405,The Alienist,Caleb Carr,0812976142,(Dr. Laszlo Kreizler #1),4.06,498,130373,6330,Paperback,October 24th 2006,Random House
404,The Big Sleep,Raymond Chandler,0394758285,(Philip Marlowe #1),4.01,231,107616,4821,Paperback,July 12th 1988,Vintage Crime
403,A Fatal Grace,Louise Penny,0312352565,(Chief Inspector Armand Gamache #2),4.11,311,55152,4986,Hardcover,May 15th 2007,Minotaur Books
402,Big Little Lies,Liane Moriarty,0399587195,,4.26,460,599170,40591,Paperback,February 9th 2017,Berkley Books
401,The Name of the Rose,Umberto Eco,0156001314,,4.12,536,265080,7584,Paperback,September 28th 1994,Harvest Books
400,The Wife Between Us,Greer Hendricks,1250130921,,3.84,346,134964,15702,Hardcover,January 9th 2018,St. Martin's Press
399,Betrayal in Death,J.D. Robb,0425178579,(In Death #12),4.32,355,24531,728,Mass Market Paperback,March 1st 2001,Berkley Books
398,"Farewell, My Lovely",Raymond Chandler,0394758277,(Philip Marlowe #2),4.15,292,27416,1445,Paperback,August 1992,Vintage Crime/Black Lizard
397,They Came to Baghdad,Agatha Christie,0007154933,,3.79,364,12766,879,Paperback,2003,HarperCollins
396,X,Sue Grafton,0399163840,(Kinsey Millhone #24),3.91,403,26464,3133,Hardcover,August 25th 2015,Marian Wood Books/Putnam
395,One Corpse Too Many,Ellis Peters,0446400513,(Chronicles of Brother Cadfael #2),4.06,214,11398,583,Paperback,March 1st 1994,Grand Central Publishing
394,The Anatomist's Wife,Anna Lee Huber,0425253287,(Lady Darby Mystery #1),3.93,357,8324,1212,Paperback,November 6th 2012,Berkley
393,In the Bleak Midwinter,Julia Spencer-Fleming,0312986769,(The Rev. Clare Fergusson & Russ Van Alstyne Mysteries #1),3.91,370,10977,1293,Mass Market Paperback,March 14th 2003,Minotaur Books
392,A Cold Day For Murder,Dana Stabenow,042513301X,(Kate Shugak #1),3.73,208,12477,1130,Paperback,June 1st 1992,Berkley
391,Strawberry Shortcake Murder,Joanne Fluke,1575667215,(Hannah Swensen #2),3.84,320,16305,995,Paperback,February 2nd 2002,Kensington
390,Kingdom of the Blind,Louise Penny,1250066204,(Chief Inspector Armand Gamache #14),4.40,400,21553,3006,Hardcover,November 27th 2018,Minotaur Books
389,Top Secret Twenty-One,Janet Evanovich,0345542924,(Stephanie Plum #21),3.83,305,47017,4378,Hardcover,June 17th 2014,Bantam
388,Silent on the Moor,Deanna Raybourn,0778326144,(Lady Julia Grey #3),4.03,465,11207,917,Paperback,2009,Mira Books
387,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1904633684,(Sherlock Holmes #9),4.19,303,17552,755,Hardcover,2004,Collector's Library
386,Knots and Crosses,Ian Rankin,0312956738,(Inspector Rebus #1),3.83,228,36294,1775,Paperback,December 15th 1995,St. Martin's Press
385,The Lying Game,Ruth Ware,1501156004,,3.52,370,70586,7055,Hardcover,July 25th 2017,Gallery/Scout Press
384,The Full Cupboard of Life,Alexander McCall Smith,1400031818,(No. 1 Ladies' Detective Agency #5),4.02,198,27461,1242,Paperback,January 25th 2005,Anchor
383,As Chimney Sweepers Come to Dust,Alan Bradley,0345539931,(Flavia de Luce  #7),3.94,392,21245,3007,Hardcover,January 6th 2015,Delacorte Press
382,The Poet,Michael Connelly,0446690457,(Jack McEvoy #1),4.20,510,69253,2402,Paperback,July 1st 2002,Grand Central Publishing
381,The Concrete Blonde,Michael Connelly,044661758X,(Harry Bosch #3),4.15,484,45034,1997,Paperback,February 1st 2007,Grand Central Publishing
380,Witness in Death,J.D. Robb,0749934360,(In Death #10),4.31,339,25640,816,Paperback,July 1st 2004,Piatkus Books
379,The 5th Horseman,James Patterson,1594831114,(Women's Murder Club #5),4.05,464,56901,1701,Audiobook,February 6th 2008,Time Warner AudioBooks
378,The Secret of Shadow Ranch,Carolyn Keene,000692526X,(Nancy Drew Mystery Stories #5),3.93,160,15028,535,Paperback,June 15th 1992,Armada
377,Track of the Cat,Nevada Barr,0380721643,(Anna Pigeon  #1),3.86,218,15097,927,Paperback,1993,Avon
376,Loyalty in Death,J.D. Robb,0749934182,(In Death #9),4.31,355,25659,823,Paperback,December 1st 2004,Piatkus Books
375,Child 44,Tom Rob Smith,0446402397,(Leo Demidov #1),4.09,509,65546,5983,Mass Market Paperback,April 1st 2009,Grand Central Publishing
374,"Three Bedrooms, One Corpse",Charlaine Harris,0373261772,(Aurora Teagarden #3),3.80,256,16359,718,Mass Market Paperback,July 25th 1995,Worldwide Library
373,The Long Goodbye,Raymond Chandler,0394757688,(Philip Marlowe #6),4.22,379,29014,1830,Paperback,August 12th 1988,Vintage Crime/Black Lizard
372,Murder in the Mews,Agatha Christie,1572702842,(Hercule Poirot #18),3.76,0,12223,536,Audio CD,October 21st 2002,AudioGO
371,The Runaway Jury,John Grisham,0385339690,,3.97,358,245755,1927,Paperback,April 25th 2006,Delta
370,A Share in Death,Deborah Crombie,0060534389,(Duncan Kincaid & Gemma James #1),3.78,288,11861,880,Mass Market Paperback,August 26th 2003,Avon
369,Shakespeare's Champion,Charlaine Harris,0425213102,(Lily Bard #2),3.83,214,15139,621,Mass Market Paperback,December 5th 2006,Berkley Books
368,The Mystery at Lilac Inn,Carolyn Keene,1557091587,(Nancy Drew Mystery Stories #4),3.97,200,16401,596,Hardcover,May 1st 1994,Applewood Books
367,"Tinker, Tailor, Soldier, Spy",John le Carré,0143119788,(The Karla Trilogy #1),4.05,381,60481,3624,Paperback,June 7th 2011,Penguin Books
366,The Language of Bees,Laurie R. King,0553804545,(Mary Russell and Sherlock Holmes #9),4.16,435,12945,975,Hardcover,April 1st 2009,Random House
365,Fatal Voyage,Kathy Reichs,1416510567,(Temperance Brennan #4),4.04,448,43019,1033,Paperback,April 26th 2005,Pocket Star Books
364,The Game,Laurie R. King,0553801945,(Mary Russell and Sherlock Holmes #7),4.17,400,11766,690,Hardcover,March 2nd 2004,Bantam
363,The Five Red Herrings,Dorothy L. Sayers,,(Lord Peter Wimsey #7),3.84,297,10866,610,Kindle Edition,July 31st 2012,Open Road Media Mystery & Thriller
362,Black Coffee,Charles Osborne,0312970072,(Hercule Poirot #45.5),3.48,304,12204,798,Paperback,September 15th 1999,St. Martin's Paperbacks
361,Final Girls,Riley Sager,1101985364,,3.80,342,44289,6865,Hardcover,July 11th 2017,Dutton
360,Heartsick,Chelsea Cain,0312368461,(Archie Sheridan & Gretchen Lowell #1),3.93,326,33683,2812,Hardcover,September 4th 2007,Minotaur Books
359,Cause of Death,Patricia Cornwell,0425213382,(Kay Scarpetta #7),3.93,356,41141,776,Paperback,January 2nd 2007,Berkley Books
358,Dead and Gone,Charlaine Harris,0441017150,(Sookie Stackhouse #9),4.01,312,166126,4433,Hardcover,May 5th 2009,Ace Books
357,Heist Society,Ally Carter,1423116399,(Heist Society #1),3.91,287,84167,5122,Hardcover,February 9th 2010,Disney-Hyperion
356,The Long Way Home,Louise Penny,1250022061,(Chief Inspector Armand Gamache #10),4.07,373,32510,3567,Hardcover,August 26th 2014,Minotaur Books
355,Towards Zero,Agatha Christie,,(Superintendent Battle #5),3.87,301,12210,847,Paperback,2002,HarperCollins
354,Where the Crawdads Sing,Delia Owens,0735219117,,4.52,384,256477,29843,ebook,August 14th 2018,G.P. Putnam’s Sons
353,Perfume: The Story of a Murderer,Patrick Süskind,0140120831,,4.02,263,275821,12409,Paperback,1987,Penguin Books
352,Murder Is Easy,Agatha Christie,0312979827,(Superintendent Battle #4),3.74,288,13443,885,Paperback,November 19th 2001,Minotaur Books
351,The Face of a Stranger,Anne Perry,0804108587,(William Monk #1),4.04,352,14003,948,Mass Market Paperback,May 11th 2011,Fawcett
350,Locked Rooms,Laurie R. King,0553583417,(Mary Russell and Sherlock Holmes #8),4.26,528,12531,804,Mass Market Paperback,March 28th 2006,Bantam
349,The Black Dahlia,James Ellroy,0446698873,(L.A. Quartet #1),3.75,348,74126,2310,Paperback,August 16th 2006,Mysterious Press
348,The Last Camel Died at Noon,Elizabeth Peters,1841193879,(Amelia Peabody   #6),4.21,448,13799,557,Paperback,2002,London : Robinson
347,Grave Secret,Charlaine Harris,0425230155,(Harper Connelly #4),3.95,306,26697,1514,Hardcover,October 27th 2009,Berkley
346,The Yiddish Policemen's Union,Michael Chabon,0007149824,,3.70,414,58020,6549,Hardcover,May 1st 2007,HarperCollins
345,The Outsider,Stephen King,1501180983,,4.02,561,100524,11150,Hardcover,May 22nd 2018,Scribner
344,From Dead to Worse,Charlaine Harris,0441015891,(Sookie Stackhouse #8),4.01,359,168562,3641,Hardcover,May 6th 2008,Ace
343,Ordeal by Innocence,Agatha Christie,0312981627,,3.79,288,12671,988,Paperback,May 19th 2002,Minotaur Books
342,An Unsuitable Job for a Woman,P.D. James,0743219554,(Cordelia Gray #1),3.83,256,12891,809,Paperback,April 17th 2001,Scribner
341,First Grave on the Right,Darynda Jones,0312662750,(Charley Davidson #1),4.06,310,67317,7275,Hardcover,February 1st 2011,St. Martin's Press
340,The Sittaford Mystery,Agatha Christie,0007136846,,3.70,400,11928,845,Paperback,2002,HarperCollins Publishers Ltd.
339,A Test of Wills,Charles Todd,0061242845,(Inspector Ian Rutledge #1),3.89,305,12781,1234,Paperback,December 26th 2006,Harper
338,Pines,Blake Crouch,1612183956,(Wayward Pines #1),3.90,305,77475,6554,Paperback,August 21st 2012,Thomas & Mercer
337,Relic,Douglas Preston,0765354942,(Pendergast #1),4.02,480,85182,3101,Paperback,August 1st 2005,Tor Books
336,Fer-de-Lance,Rex Stout,0553278193,(Nero Wolfe  #1),3.99,285,11661,708,Paperback,July 21st 2010,Bantam Crimeline
335,Deadly Decisions,Kathy Reichs,0671028367,(Temperance Brennan #3),3.94,368,27750,944,Mass Market Paperback,July 1st 2001,Pocket Star
334,Summer Knight,Jim Butcher,0451458923,(The Dresden Files #4),4.30,446,112876,3673,Mass Market Paperback,September 3rd 2002,Roc
333,The Chalk Man,C.J. Tudor,1524760986,,3.71,280,41150,6487,Hardcover,January 9th 2018,Crown Publishing Group (NY)
332,The Secret Keeper,Kate Morton,1439152802,,4.14,484,121710,13434,Hardcover,October 9th 2012,Atria
331,The Unbecoming of Mara Dyer,Michelle Hodkin,,(Mara Dyer #1),4.07,456,143002,15437,Kindle Edition,September 27th 2011,Simon & Schuster Books for Young Readers
